time,x
2015-01-04,64
2015-01-11,40
2015-01-18,39
2015-01-25,43
2015-02-01,30
2015-02-08,41
2015-02-15,30
2015-02-22,53
2015-03-01,39
2015-03-08,51
2015-03-15,44
2015-03-22,55
2015-03-29,55
2015-04-05,33
2015-04-12,40
2015-04-19,38
2015-04-26,41
2015-05-03,55
2015-05-10,47
2015-05-17,35
2015-05-24,32
2015-05-31,42
2015-06-07,33
2015-06-14,35
2015-06-21,36
2015-06-28,25
2015-07-05,31
2015-07-12,24
2015-07-19,24
2015-07-26,24
2015-08-02,27
2015-08-09,26
2015-08-16,24
2015-08-23,43
2015-08-30,50
2015-09-06,74
2015-09-13,95
2015-09-20,75
2015-09-27,95
2015-10-04,81
2015-10-11,58
2015-10-18,44
2015-10-25,50
2015-11-01,55
2015-11-08,41
2015-11-15,36
2015-11-22,43
2015-11-29,41
2015-12-06,44
2015-12-13,46
2015-12-20,44
2015-12-27,41
2016-01-03,37
2016-01-10,44
2016-01-17,37
2016-01-24,28
2016-01-31,44
2016-02-07,54
2016-02-14,34
2016-02-21,35
2016-02-28,38
2016-03-06,41
2016-03-13,45
2016-03-20,57
2016-03-27,49
2016-04-03,47
2016-04-10,45
2016-04-17,44
2016-04-24,43
2016-05-01,46
2016-05-08,44
2016-05-15,36
2016-05-22,26
2016-05-29,32
2016-06-05,27
2016-06-12,23
2016-06-19,34
2016-06-26,22
2016-07-03,29
2016-07-10,29
2016-07-17,31
2016-07-24,29
2016-07-31,19
2016-08-07,23
2016-08-14,21
2016-08-21,41
2016-08-28,44
2016-09-04,44
2016-09-11,67
2016-09-18,82
2016-09-25,67
2016-10-02,49
2016-10-09,64
2016-10-16,47
2016-10-23,44
2016-10-30,49
2016-11-06,78
2016-11-13,55
2016-11-20,39
2016-11-27,44
2016-12-04,45
2016-12-11,40
2016-12-18,42
2016-12-25,40
2017-01-01,40
2017-01-08,43
2017-01-15,30
2017-01-22,21
2017-01-29,50
2017-02-05,39
2017-02-12,33
2017-02-19,32
2017-02-26,52
2017-03-05,49
2017-03-12,33
2017-03-19,49
2017-03-26,44
2017-04-02,47
2017-04-09,39
2017-04-16,46
2017-04-23,63
2017-04-30,60
2017-05-07,46
2017-05-14,51
2017-05-21,29
2017-05-28,35
2017-06-04,40
2017-06-11,41
2017-06-18,35
2017-06-25,23
2017-07-02,20
2017-07-09,37
2017-07-16,30
2017-07-23,25
2017-07-30,32
2017-08-06,29
2017-08-13,45
2017-08-20,33
2017-08-27,72
2017-09-03,69
2017-09-10,88
2017-09-17,80
2017-09-24,66
2017-10-01,64
2017-10-08,54
2017-10-15,52
2017-10-22,49
2017-10-29,45
2017-11-05,51
2017-11-12,41
2017-11-19,60
2017-11-26,46
2017-12-03,43
2017-12-10,31
2017-12-17,45
2017-12-24,56
2017-12-31,42
2018-01-07,47
2018-01-14,39
2018-01-21,40
2018-01-28,36
2018-02-04,30
2018-02-11,33
2018-02-18,41
2018-02-25,39
2018-03-04,48
2018-03-11,39
2018-03-18,45
2018-03-25,55
2018-04-01,42
2018-04-08,42
2018-04-15,53
2018-04-22,53
2018-04-29,42
2018-05-06,48
2018-05-13,36
2018-05-20,37
2018-05-27,40
2018-06-03,40
2018-06-10,32
2018-06-17,28
2018-06-24,25
2018-07-01,32
2018-07-08,30
2018-07-15,31
2018-07-22,20
2018-07-29,18
2018-08-05,20
2018-08-12,30
2018-08-19,40
2018-08-26,26
2018-09-02,50
2018-09-09,53
2018-09-16,65
2018-09-23,100
2018-09-30,68
2018-10-07,55
2018-10-14,68
2018-10-21,51
2018-10-28,52
2018-11-04,39
2018-11-11,42
2018-11-18,44
2018-11-25,53
2018-12-02,36
2018-12-09,43
2018-12-16,44
2018-12-23,43
2018-12-30,34
2019-01-06,42
2019-01-13,34
2019-01-20,42
2019-01-27,34
2019-02-03,36
2019-02-10,42
2019-02-17,42
2019-02-24,48
2019-03-03,41
2019-03-10,45
2019-03-17,32
2019-03-24,47
2019-03-31,42
2019-04-07,44
2019-04-14,41
2019-04-21,54
2019-04-28,55
2019-05-05,66
2019-05-12,53
2019-05-19,34
2019-05-26,39
2019-06-02,40
2019-06-09,29
2019-06-16,31
2019-06-23,30
2019-06-30,32
2019-07-07,41
2019-07-14,30
2019-07-21,33
2019-07-28,25
2019-08-04,33
2019-08-11,32
2019-08-18,40
2019-08-25,65
2019-09-01,51
2019-09-08,69
2019-09-15,98
2019-09-22,92
