Weeks,Counts
2014-10-05,10
2014-10-12,12
2014-10-19,13
2014-10-26,11
2014-11-02,13
2014-11-09,11
2014-11-16,12
2014-11-23,12
2014-11-30,15
2014-12-07,17
2014-12-14,20
2014-12-21,14
2014-12-28,15
2015-01-04,17
2015-01-11,17
2015-01-18,19
2015-01-25,17
2015-02-01,16
2015-02-08,19
2015-02-15,17
2015-02-22,23
2015-03-01,20
2015-03-08,17
2015-03-15,24
2015-03-22,19
2015-03-29,16
2015-04-05,19
2015-04-12,19
2015-04-19,18
2015-04-26,16
2015-05-03,17
2015-05-10,19
2015-05-17,22
2015-05-24,21
2015-05-31,23
2015-06-07,21
2015-06-14,24
2015-06-21,23
2015-06-28,20
2015-07-05,22
2015-07-12,21
2015-07-19,21
2015-07-26,22
2015-08-02,21
2015-08-09,20
2015-08-16,21
2015-08-23,21
2015-08-30,18
2015-09-06,22
2015-09-13,24
2015-09-20,22
2015-09-27,23
2015-10-04,26
2015-10-11,23
2015-10-18,23
2015-10-25,25
2015-11-01,20
2015-11-08,30
2015-11-15,29
2015-11-22,26
2015-11-29,25
2015-12-06,30
2015-12-13,32
2015-12-20,27
2015-12-27,21
2016-01-03,30
2016-01-10,25
2016-01-17,35
2016-01-24,42
2016-01-31,33
2016-02-07,30
2016-02-14,32
2016-02-21,32
2016-02-28,34
2016-03-06,46
2016-03-13,52
2016-03-20,40
2016-03-27,40
2016-04-03,46
2016-04-10,43
2016-04-17,41
2016-04-24,37
2016-05-01,36
2016-05-08,40
2016-05-15,42
2016-05-22,42
2016-05-29,38
2016-06-05,40
2016-06-12,40
2016-06-19,44
2016-06-26,43
2016-07-03,40
2016-07-10,38
2016-07-17,39
2016-07-24,37
2016-07-31,40
2016-08-07,40
2016-08-14,31
2016-08-21,38
2016-08-28,44
2016-09-04,40
2016-09-11,41
2016-09-18,46
2016-09-25,49
2016-10-02,46
2016-10-09,48
2016-10-16,48
2016-10-23,52
2016-10-30,49
2016-11-06,51
2016-11-13,54
2016-11-20,57
2016-11-27,54
2016-12-04,66
2016-12-11,60
2016-12-18,51
2016-12-25,44
2017-01-01,56
2017-01-08,66
2017-01-15,67
2017-01-22,63
2017-01-29,59
2017-02-05,63
2017-02-12,62
2017-02-19,70
2017-02-26,67
2017-03-05,71
2017-03-12,69
2017-03-19,71
2017-03-26,74
2017-04-02,76
2017-04-09,70
2017-04-16,70
2017-04-23,77
2017-04-30,67
2017-05-07,75
2017-05-14,71
2017-05-21,75
2017-05-28,73
2017-06-04,70
2017-06-11,71
2017-06-18,77
2017-06-25,72
2017-07-02,71
2017-07-09,79
2017-07-16,72
2017-07-23,72
2017-07-30,73
2017-08-06,77
2017-08-13,75
2017-08-20,75
2017-08-27,76
2017-09-03,82
2017-09-10,80
2017-09-17,83
2017-09-24,80
2017-10-01,75
2017-10-08,87
2017-10-15,87
2017-10-22,87
2017-10-29,87
2017-11-05,95
2017-11-12,93
2017-11-19,80
2017-11-26,94
2017-12-03,100
2017-12-10,94
2017-12-17,86
2017-12-24,74
2017-12-31,78
2018-01-07,89
2018-01-14,88
2018-01-21,86
2018-01-28,95
2018-02-04,93
2018-02-11,82
2018-02-18,89
2018-02-25,87
2018-03-04,85
2018-03-11,91
2018-03-18,94
2018-03-25,95
2018-04-01,87
2018-04-08,95
2018-04-15,94
2018-04-22,90
2018-04-29,81
2018-05-06,90
2018-05-13,93
2018-05-20,85
2018-05-27,94
2018-06-03,87
2018-06-10,88
2018-06-17,82
2018-06-24,84
2018-07-01,82
2018-07-08,83
2018-07-15,83
2018-07-22,82
2018-07-29,81
2018-08-05,80
2018-08-12,75
2018-08-19,82
2018-08-26,88
2018-09-02,88
2018-09-09,90
2018-09-16,92
2018-09-23,89
2018-09-30,92
2018-10-07,92
2018-10-14,91
2018-10-21,96
2018-10-28,96
2018-11-04,87
2018-11-11,91
2018-11-18,87
2018-11-25,96
2018-12-02,96
2018-12-09,93
2018-12-16,85
2018-12-23,63
2018-12-30,71
2019-01-06,92
2019-01-13,93
2019-01-20,88
2019-01-27,88
2019-02-03,88
2019-02-10,91
2019-02-17,96
2019-02-24,95
2019-03-03,95
2019-03-10,92
2019-03-17,87
2019-03-24,100
2019-03-31,97
2019-04-07,97
2019-04-14,92
2019-04-21,90
2019-04-28,86
2019-05-05,90
2019-05-12,90
2019-05-19,92
2019-05-26,90
2019-06-02,88
2019-06-09,95
2019-06-16,92
2019-06-23,93
2019-06-30,93
2019-07-07,92
2019-07-14,94
2019-07-21,88
2019-07-28,82
2019-08-04,81
2019-08-11,86
2019-08-18,88
2019-08-25,91
2019-09-01,93
2019-09-08,92
2019-09-15,96
2019-09-22,93
2019-09-29,96
