Weeks,Counts
2014-10-05,47
2014-10-12,50
2014-10-19,51
2014-10-26,58
2014-11-02,41
2014-11-09,49
2014-11-16,52
2014-11-23,56
2014-11-30,48
2014-12-07,44
2014-12-14,66
2014-12-21,54
2014-12-28,55
2015-01-04,95
2015-01-11,55
2015-01-18,66
2015-01-25,63
2015-02-01,61
2015-02-08,67
2015-02-15,44
2015-02-22,80
2015-03-01,66
2015-03-08,62
2015-03-15,76
2015-03-22,56
2015-03-29,56
2015-04-05,38
2015-04-12,47
2015-04-19,53
2015-04-26,43
2015-05-03,48
2015-05-10,41
2015-05-17,42
2015-05-24,50
2015-05-31,44
2015-06-07,38
2015-06-14,56
2015-06-21,62
2015-06-28,65
2015-07-05,65
2015-07-12,68
2015-07-19,64
2015-07-26,60
2015-08-02,65
2015-08-09,58
2015-08-16,44
2015-08-23,77
2015-08-30,65
2015-09-06,60
2015-09-13,83
2015-09-20,46
2015-09-27,37
2015-10-04,57
2015-10-11,41
2015-10-18,41
2015-10-25,50
2015-11-01,44
2015-11-08,55
2015-11-15,46
2015-11-22,44
2015-11-29,56
2015-12-06,42
2015-12-13,66
2015-12-20,57
2015-12-27,49
2016-01-03,64
2016-01-10,49
2016-01-17,44
2016-01-24,60
2016-01-31,52
2016-02-07,54
2016-02-14,61
2016-02-21,62
2016-02-28,74
2016-03-06,66
2016-03-13,65
2016-03-20,68
2016-03-27,55
2016-04-03,46
2016-04-10,52
2016-04-17,40
2016-04-24,61
2016-05-01,42
2016-05-08,52
2016-05-15,46
2016-05-22,35
2016-05-29,53
2016-06-05,30
2016-06-12,42
2016-06-19,44
2016-06-26,46
2016-07-03,56
2016-07-10,44
2016-07-17,39
2016-07-24,56
2016-07-31,49
2016-08-07,44
2016-08-14,49
2016-08-21,60
2016-08-28,63
2016-09-04,52
2016-09-11,52
2016-09-18,49
2016-09-25,41
2016-10-02,42
2016-10-09,38
2016-10-16,33
2016-10-23,41
2016-10-30,37
2016-11-06,37
2016-11-13,46
2016-11-20,39
2016-11-27,48
2016-12-04,36
2016-12-11,49
2016-12-18,45
2016-12-25,45
2017-01-01,72
2017-01-08,50
2017-01-15,62
2017-01-22,45
2017-01-29,45
2017-02-05,63
2017-02-12,51
2017-02-19,57
2017-02-26,73
2017-03-05,66
2017-03-12,68
2017-03-19,52
2017-03-26,54
2017-04-02,38
2017-04-09,46
2017-04-16,36
2017-04-23,35
2017-04-30,39
2017-05-07,43
2017-05-14,41
2017-05-21,41
2017-05-28,42
2017-06-04,45
2017-06-11,40
2017-06-18,54
2017-06-25,53
2017-07-02,51
2017-07-09,69
2017-07-16,59
2017-07-23,57
2017-07-30,61
2017-08-06,57
2017-08-13,64
2017-08-20,62
2017-08-27,62
2017-09-03,68
2017-09-10,82
2017-09-17,57
2017-09-24,44
2017-10-01,25
2017-10-08,54
2017-10-15,36
2017-10-22,44
2017-10-29,47
2017-11-05,47
2017-11-12,50
2017-11-19,50
2017-11-26,54
2017-12-03,40
2017-12-10,60
2017-12-17,49
2017-12-24,61
2017-12-31,61
2018-01-07,64
2018-01-14,66
2018-01-21,66
2018-01-28,62
2018-02-04,59
2018-02-11,58
2018-02-18,63
2018-02-25,59
2018-03-04,67
2018-03-11,73
2018-03-18,49
2018-03-25,57
2018-04-01,40
2018-04-08,43
2018-04-15,46
2018-04-22,41
2018-04-29,49
2018-05-06,40
2018-05-13,40
2018-05-20,52
2018-05-27,48
2018-06-03,49
2018-06-10,52
2018-06-17,47
2018-06-24,71
2018-07-01,59
2018-07-08,64
2018-07-15,73
2018-07-22,70
2018-07-29,56
2018-08-05,68
2018-08-12,65
2018-08-19,79
2018-08-26,60
2018-09-02,77
2018-09-09,71
2018-09-16,50
2018-09-23,61
2018-09-30,50
2018-10-07,49
2018-10-14,44
2018-10-21,50
2018-10-28,50
2018-11-04,51
2018-11-11,57
2018-11-18,58
2018-11-25,49
2018-12-02,60
2018-12-09,71
2018-12-16,58
2018-12-23,68
2018-12-30,84
2019-01-06,87
2019-01-13,74
2019-01-20,85
2019-01-27,68
2019-02-03,78
2019-02-10,66
2019-02-17,77
2019-02-24,64
2019-03-03,79
2019-03-10,76
2019-03-17,59
2019-03-24,63
2019-03-31,53
2019-04-07,52
2019-04-14,49
2019-04-21,48
2019-04-28,55
2019-05-05,52
2019-05-12,45
2019-05-19,55
2019-05-26,51
2019-06-02,48
2019-06-09,50
2019-06-16,53
2019-06-23,76
2019-06-30,79
2019-07-07,80
2019-07-14,76
2019-07-21,83
2019-07-28,79
2019-08-04,89
2019-08-11,69
2019-08-18,94
2019-08-25,79
2019-09-01,100
2019-09-08,67
2019-09-15,79
2019-09-22,66
2019-09-29,73
